,Country,Area,Species
1881,CROATIA,Adriatic Sea,Possible white shark
1882,PAPUA NEW GUINEA,New Britain,-foot shark
1883,AUSTRALIA,New South Wales,Bull shark
1884,MALTA,Harare Province,White shark
1885,USA,California,Shortfin mako shark
1886,USA,Mississippi,Ins from shark
1887,EGYPT,Suez Canal,Tiger shark
1888,AUSTRALIA,New South Wales,Bull shark
1889,SOUTH AFRICA,Western Cape Province,White shark
1890,USA,California,Basking shark
1891,ITALY,Calabria,Kg shark
1892,USA,South Carolina,White shark
1893,USA,New York,Shovelnose shark
1894,AUSTRALIA,Tasmania,Sevengill shark
1895,CROATIA, Primorje-Gorski Kotar County,Kg female shark
1896,NEW ZEALAND,South Island,But the shark
1897,USA,South Carolina,School of shark
1898,ITALY,Sicily,White shark
1899,AUSTRALIA,Queensland,Bull shark
1900,USA,Mississippi,Tiger shark
1901,AUSTRALIA,Tasmania,-gill shark
1902,ENGLAND,"Between Hastings & Fairlight, Sussex",Porbeagle shark
1903,CANADA,Newfoundland,White shark
1904,AUSTRALIA,Queensland,Hammerhead shark
1905,AUSTRALIA,South Australia,Tiger shark
1906,ITALY,Adriatic Sea,White shark
1907,NEW ZEALAND,North Island,Ground shark
1908,BAHAMAS,New Providence Island,Covered from shark
1909,USA,North Carolina,White shark
1910,USA,South Carolina,Tiger shark
1911,GREECE,Corfu ,-lb shark
1912,USA,North Carolina,White shark
1913,SOUTH AFRICA,Western Cape Province,White shark
1914,CUBA,Matanzas Province (north coast),Large shark
1915,FRENCH POLYNESIA,Society Islands,Hammerhead shark
1916,ENGLAND,Devon,Mako shark
1917,ENGLAND,Sussex,Tiger shark
1918,FRANCE,Côte d'Azur ,Description of shark
1919,ITALY,Sardinia,White shark
1920,FRANCE,Côte d'Azur ,White shark
1921,FRANCE,Nice & Marseilles,Possibly white shark
1922,USA,Hawaii,Galapagos shark
1923,USA,California,Basking shark
1924,USA,Florida,Blacktip shark
1925,VENEZUELA,Los Roques  Islands,Hammerhead shark
1926,MOZAMBIQUE,Inhambane Province,Whale shark
1927,AUSTRALIA,Torres Strait,Tiger shark
1928,SUDAN,Red Sea State,Silvertip shark
1929,VANUATU,Malampa Province,Rge hammerhead shark
1930,IRAN,Khuzestan Province,Bull shark
1931,USA,Florida,Nurse shark
1932,MOZAMBIQUE,Maputo Province,Pack of shark
1933,SEYCHELLES,Amirante Islands,Tiger shark
1934,IRAQ,Basrah,Bull shark
1935,IRAQ,Basrah,Bull shark
1936,BAHAMAS,Andros Islands,White shark
1937,USA,California,White shark
1938,BAHAMAS,Andros Islands,Nurse shark
1939,NICARAGUA,Lake Nicaragua (fresh water),Bull shark
1940,IRAQ,Basrah,Bull shark
1941,SAUDI ARABIA,Eastern Province,Black-tipped shark
1942,ITALY,Adriatic Sea,White shark
1943,AUSTRALIA,New South Wales,Grey nurse shark
