,Country,Area,Species
434,EGYPT,St. Johns Reef,Oceanic whitetip shark
435,EGYPT,St. Johns Reef,Oceanic whitetip shark
436,EGYPT,St. Johns Reef,Oceanic whitetip shark
437,TAIWAN,Off Green Island,Kg shark
438,USA,Florida,Spinner shark
439,USA,Florida,Spinner shark
440,USA,Florida,Spinner shark
441,GUAM,North Region,Blacktip shark
442,USA,California,White shark
443,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
444,AUSTRALIA,New South Wales,Bronze whaler shark
445,MALAYSIA,Strait of Malacca,Blacktip reef shark
446,USA,Hawaii,Cookie cutter shark
447,AUSTRALIA,Western Australia,Wobbegong shark
448,SOUTH AFRICA,Western Cape Province,Blue shark
449,AUSTRALIA,New South Wales,White shark
450,AUSTRALIA,New South Wales,Bull shark
451,AUSTRALIA,New South Wales,White shark
452,CUBA,Guantanamo Province,Bull shark
453,SOUTH AFRICA,Eastern Cape Province,Tiger shark
454,AUSTRALIA,Victoria,White shark
455,SOUTH AFRICA,Western Cape Province,White shark
456,AUSTRALIA,New South Wales,Dusky shark
457,AUSTRALIA,Tasmania,White shark
458,AUSTRALIA,New South Wales,White shark
459,NEW ZEALAND,North Island,Mako shark
460,NEW ZEALAND,North Island,Broadnose sevengill shark
461,CUBA,Guantanamo Province,Bull shark
462,AUSTRALIA,New South Wales,White shark
463,AUSTRALIA,Western Australia,White shark
464,USA,California,White shark
465,NEW ZEALAND,North Island,Bronze whaler shark
466,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
467,AUSTRALIA,New South Wales,White shark
468,MOZAMBIQUE,Inhambane Province,Zambesi shark
469,EGYPT,Red Sea,Oceanic whitetip shark
470,AUSTRALIA,South Australia,Bronze whaler shark
471,AUSTRALIA,New South Wales,Grey nurse shark
472,AUSTRALIA,Northern Territory,Shark
473,CROATIA," Split-Dalmatia Count,",White shark
474,AUSTRALIA,Northern Territory,Bronze whaler shark
475,USA,Florida,Shark
476,USA,Hawaii,Tiger shark
477,USA,California,White shark
478,ENGLAND,North Devon,Blue shark
479,USA,US Virgin Islands,Bull sharkcaribbean reef shark
480,USA,Hawaii,Tiger shark
481,AUSTRALIA,Victoria,White shark-gill shark
482,PANAMA,San Carlos,Shark
483,MEXICO,Cabo San Lucas,Shark
484,USA,Hawaii,Shark
485,UNITED KINGDOM,Sussex,Starry smoothhound shark
486,BAHAMAS,Abaco Islands,Bull shark
487,SOUTH AFRICA,Western Cape Province,White shark
488,SOUTH AFRICA,Western Cape Province,White shark
489,USA,California,White shark
490,SCOTLAND,Easter Ross,Basking shark
491,BRAZIL,Pernambuco,Bull shark
492,BAHAMAS,Grand Bahama Island,Tiger shark
493,AUSTRALIA,Western Australia,White shark
494,NEW CALEDONIA,North Province,Small bull shark
495,MEXICO,Guerro,Tiger shark
496,NEW CALEDONIA,North Province,Bull shark
497,USA,California,White shark
498,AUSTRALIA,New South Wales,Tiger shark
499,SOUTH AFRICA,KwaZulu-Natal,Tiger shark
500,MEXICO,Quintana Roo,Dia as shark but shark
501,AUSTRALIA,New South Wales,Bull shark
502,USA,California,White shark
503,BAHAMAS,Northern Bahamas,Bull shark
504,JAPAN,Tokyo Bay,Goblin shark
505,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
506,AUSTRALIA,Queensland,Mako shark
507,NEW ZEALAND,North Island,Bronze whaler shark
508,USA,Florida,Nurse shark
509,MEXICO,Baja California,Hammerhead shark
510,USA,Hawaii,Tiger shark
511,AUSTRALIA,Western Australia,Shark
512,SOUTH AFRICA,Eastern Cape Province,White shark
513,USA,Hawaii,Tiger shark
514,AUSTRALIA,New South Wales,White shark
515,AUSTRALIA,Queensland,Bronze whaler shark
516,USA,Florida,Blacktip shark
517,NEW CALEDONIA,Loyalty Islands,Tiger shark
518,BAHAMAS,Grand Bahama Island,Caribbean reef shark
519,USA,California,White shark
520,EGYPT,Red Sea,Oceanic whitetip shark
521,SOLOMON ISLANDS,Marovo Lagoon,Gray reef shark
522,USA,Florida,Nurse shark
523,USA,Florida,Spinner shark
524,USA,Hawaii,Tiger shark
525,USA,California,White shark
526,USA,North Carolina,Sand shark
527,USA,Delaware,Sandtiger shark
528,USA,Florida,Bull shark
529,USA,Florida,Bull shark
530,USA,California,White shark
531,USA,California,White shark
532,AUSTRALIA,Territory of Cocos (Keeling) Islands,Bronze whaler shark
533,BAHAMAS,Abaco Islands,Bull shark
534,USA,Florida,Lemon shark
535,USA,Hawaii,Tiger shark
536,USA,Virginia,Blacktip reef shark
537,SEYCHELLES,Bird Island,White shark
538,USA,Hawaii,Tiger shark
539,BAHAMAS,Bimini Islands,Lemon shark
540,USA,Florida,Spinner shark
541,USA,Florida,Bull shark
542,NEW CALEDONIA,South Province,Tiger shark
543,NEW ZEALAND,Cook islans,Tiger shark
544,NEW CALEDONIA,North Province,Tiger shark
545,AUSTRALIA,New South Wales,White shark
546,SOUTH AFRICA,Eastern Cape Province,Tiger shark
547,USA,Hawaii,Sharka tiger shark
548,USA,California,White shark
549,SOUTH AFRICA,KwaZulu-Natal,Raggedtooth shark
550,AUSTRALIA,Western Australia,White shark
551,SOUTH AFRICA,Eastern Cape Province,Bull shark
552,USA,Oregon,White shark
553,USA,Florida,Nurse shark
554,USA,Florida,Spinner shark
555,SOUTH AFRICA,Western Cape Province,White shark
556,AUSTRALIA,South Australia,Bronze whaler shark
557,SOUTH AFRICA,Western Cape Province,White shark
558,USA,Oregon,White shark
559,USA,California,Mako shark
560,SOUTH AFRICA,Western Cape Province,White shark
561,USA,Texas,Bull shark
562,USA,South Carolina,Gel shark
563,BRAZIL,Pernambuco,Tiger shark
564,USA,South Carolina,Bull shark
565,USA,Florida,Spinner shark
566,AUSTRALIA,South Australia,White shark
567,USA,Hawaii,Tiger shark
568,USA,Hawaii,Tiger shark
569,USA,Hawaii,Grey reef shark
570,USA,Guam,Tiger shark
571,AUSTRALIA,Queensland,Wobbegong shark
572,USA,Florida,Bull sharkto bull shark
573,AUSTRALIA,New South Wales,Bronze whaler shark
574,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
575,BRAZIL,Pernambuco,Tiger shark
576,Sierra Leone,Western Area,-kg shark
577,USA,Hawaii,Tiger shark
578,FIJI,Vitu Levu,Tiger shark
579,AUSTRALIA,New South Wales,Bronze whaler shark
580,AUSTRALIA,South Australia,White shark
581,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
582,TONGA,Vava'u,Tiger shark
583,AUSTRALIA,Western Australia,White shark
584,AUSTRALIA,Queensland,Bull shark
585,USA,Oregon,White shark
586,USA,Hawaii,Tiger shark
587,AUSTRALIA,Queensland,Whitetip reef shark
588,AUSTRALIA,South Australia,White shark
589,AUSTRALIA,Victoria,White shark
590,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
591,USA,California,White shark
592,USA,California,White shark
593,USA,California,White shark
594,USA,Hawaii,Tiger shark
595,GRAND CAYMAN,East Wall,Caribbean reef shark
596,SOUTH AFRICA,Western Cape Province,White shark
597,AUSTRALIA,New South Wales,Tiger shark
598,AUSTRALIA,South Australia,White shark
599,AUSTRALIA,Western Australia,Bronze whaler shark
600,USA,North Carolina,Bull shark
601,AUSTRALIA,South Australia,White shark
602,AUSTRALIA,South Australia,White shark
603,USA,California,White shark
604,USA,South Carolina,Sandbar sharksmall blacktip shark
605,USA,Florida,Bull shark
606,USA,Florida,Bull shark
607,VANUATU,Malampa Province,Sharkthe same shark
608,USA,Florida,That a shark
609,SOUTH KOREA,South Ch'ungch'ong Province,White shark
610,USA,New Jersey,D white shark no shark
611,SOUTH AFRICA,Western Cape Province,White shark
612,USA,Florida,Small shark
613,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
614,AUSTRALIA,Queensland,Blacktip shark
615,USA,Hawaii,Tiger shark
616,USA,Hawaii,Tiger shark
617,AUSTRALIA,New South Wales,Mako shark
618,AUSTRALIA,Northern Territory,Copper shark
619,AUSTRALIA,New South Wales,Bronze whaler shark
620,USA,Florida,Blacktip shark
621,USA,Florida,Small hammerhead shark
622,AUSTRALIA,Western Australia,White shark
623,USA,New Mexico,Sandtiger shark
624,NEW ZEALAND,North Island,Bronze whaler shark
625,AUSTRALIA,Queensland,Bull shark
626,USA,Florida,Nurse shark
627,USA,Hawaii,Tiger shark
628,USA,Florida,Caribbean reef shark
629,AUSTRALIA,Victoria,Bronze whaler shark
630,NEW ZEALAND,North Island,White shark
631,AUSTRALIA,South Australia,White shark
632,AUSTRALIA,Queensland,Bull shark
633,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
634,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
635,SOUTH AFRICA,Western Cape Province,White shark
636,USA,California,White shark
637,CUBA,Camaguey Province,Bull shark
638,SOUTH AFRICA,Western Cape Province,White shark
639,AUSTRALIA,New South Wales,Bronze whaler shark
640,USA,California,White shark
641,USA,Hawaii,Tiger shark
642,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
643,REUNION,Conservatória District,Tiger shark
644,AUSTRALIA,Queensland,Tiger shark
645,USA,Oregon,White shark
646,BRAZIL,Pernambuco,Tiger shark
647,USA,California,White shark
648,USA,California,White shark
649,SOUTH AFRICA,KwaZulu-Natal,White shark
650,RUSSIA,Kuril Islands in the Pacific,White shark
651,USA,Texas,Bull shark
652,AUSTRALIA,Western Australia,White shark
653,JAPAN,Wakayama Prefecture,Longfin mako shark
654,USA,California,White shark
655,AUSTRALIA,Western Australia,Bronze whaler shark
656,SOUTH AFRICA,Western Cape Province,White shark
657,BRAZIL,Pernambuco,Bull shark
658,BAHAMAS,Abaco Islands,Caribbean reef shark
659,USA,Texas,Mako shark
660,AUSTRALIA,New South Wales,Wobbegong shark
661,NEW ZEALAND,North Island,White shark
662, TONGA,Nuku'alofa,Small shark
663,USA,Hawaii,Tiger shark
664,SOUTH AFRICA,Western Cape Province,White shark
665,USA,Florida,Bull shark
666,BRAZIL,Pernambuco,Bull shark
667,USA,Florida,Bull shark
668,NEW ZEALAND,North Island,Bronze whaler shark
669,USA,Hawaii,Tiger shark
670,AUSTRALIA,Western Australia,Bronze whaler shark
671,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Sevengill  shark
672,AUSTRALIA,New South Wales,Brown shark
673,AUSTRALIA,Western Australia,White shark
674,URUGUAY,Rocha,Sandtiger shark
675,VENEZUELA,Anzoategui,Bull shark
676,VENEZUELA,Anzoategui,Bull shark
677,SOUTH AFRICA,KwaZulu-Natal,Mako shark
678,AUSTRALIA,New South Wales,Raggedtooth shark
679,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
680,SOUTH AFRICA,KwaZulu-Natal,Shortfin mako shark
681,AUSTRALIA,Western Australia,Wobbegong shark
682,AUSTRALIA,Western Australia,Wobbegong shark
683,SOUTH AFRICA,KwaZulu-Natal,Tiger shark
684,INDIA,Tamil Nadu,Tiger shark
685,EGYPT,Sinai Peninsula,Ceanic whitetip shark
686,SOUTH AFRICA,KwaZulu-Natal,White shark
687,PANAMA,Pearl Islands,Nurse shark
688,AUSTRALIA,New South Wales,Sharkgrey nurse shark
689,USA,Hawaii,Tiger shark
690,USA,Hawaii,Grey-colored shark
691,SOUTH AFRICA,Western Cape Province,Cow shark
692,SOUTH AFRICA,Western Cape Province,White shark
693,USA,Texas,Bull shark
694,USA,California,White shark
695,SOUTH AFRICA,Eastern Cape Province,White shark
696,BAHAMAS,Abaco Islands,Bull shark
697,USA,Florida,Great hammerhead shark
698,NEW ZEALAND,Cook Islands,Grey reef shark
699,USA,Florida,Shark
700,USA,Florida,Small brown shark
701,USA,North Carolina,Sand shark
702,USA,Hawaii,Shark grey-colored shark
703,PHILIPPINES,Baatan,White shark
704,BRAZIL,Pernambuco,Bull shark
705,VENEZUELA,Nueva Esparta,Mako shark
706,USA,Florida,Captive shark
707,NEW ZEALAND,Southland,White shark
708,AUSTRALIA,New South Wales,Grey nurse shark
709,AUSTRALIA,Queensland,Bull shark
710,COSTA RICA,North Pacific coast,Bull shark
711,AUSTRALIA,Western Australia,Bronze whaler shark
712,AUSTRALIA,Queensland,Hammerhead shark
713,SOUTH AFRICA,Western Cape Province,White sharkm white shark
714,AUSTRALIA,Queensland,Wobbegong shark
715,AUSTRALIA,Queensland,Bull shark
716,MICRONESIA,Caroline Islands,Blacktip shark
717,USA,California,White shark
718,USA,Hawaii,Grey colored shark
719,TURKS & CAICOS,Caicos Bank,Caribbean reef shark
720,BRAZIL,Pernambuco,Bull sharkor tiger shark
721,USA,Florida,Spinner shark
722,USA,Hawaii,Blacktip shark
723,USA,Florida,Blacktip shark
724,TONGA,Vava'u,Tiger shark
725,BRAZIL,Pernambuco,Tiger shark
726,SOUTH AFRICA,Western Cape Province,White shark
727,USA,Florida,Bonnethed shark
728,USA,Hawaii,Tiger shark
729,USA,Florida,Nurse shark
730,UNITED KINGDOM,Cheshire,Sandtiger shark
731,USA,South Carolina,Sandbar shark
732,USA,North Carolina,Bull shark
733,USA,Maryland,Mako shark
734,BRAZIL,Pernambuco,Tiger shark
735,USA,North Carolina,Sharka bull shark
736,USA,Hawaii,Tiger shark
737,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Copper shark
738,USA,California,White shark
739,USA,Florida,Shark
740,USA,Florida,Blacktip shark
741,COSTA RICA,Guanacaste,Bull shark
742,AUSTRALIA,South Australia,White shark
743,BAHAMAS,Abaco Islands,Bull shark
744,USA,Florida,Shark
745,USA,Hawaii,Tiger shark
746,USA,Florida,Nurse shark
747,USA,Florida,Spinner shark
748,AUSTRALIA,Queensland,Whaler shark
749,AUSTRALIA,New South Wales,Tiger shark
750,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
751,USA,Hawaii,Tiger shark
752,AUSTRALIA,New South Wales,Bronze whaler shark
753,SOUTH AFRICA,KwaZulu-Natal,Mako shark
754,AUSTRALIA,Queensland,Bronze whaler shark
755,MEXICO,Guerrero,Tiger shark
756,AUSTRALIA,Queensland,White shark
757,USA,Florida,Cident - shark
758,UNITED KINGDOM,Cheshire,Sandtiger shark
759,USA,North Carolina,Rge white shark
760,USA,North Carolina,Rge white shark
761,USA,Virginia,Bull shark
762,BAHAMAS,Abaco Islands,Bull shark
763,USA,Florida,Spinner shark
764,USA,Florida,Sharkor spinner shark
765,USA,Florida,Blacktip shark
766,BAHAMAS,Grand Bahama Island,Bull shark
767,USA,Florida,Nurse shark
768,USA,Massachusetts,Mako shark
769,USA,Florida,Bull shark
770,USA,California,White shark
771,SOUTH AFRICA,Eastern Cape Province,White shark
772,USA,Florida,Spinner shark
773,USA,Florida,Spinner shark
774,USA,Florida,Spinner shark
775,USA,Florida,Spinner shark
776,USA,Florida,Spinner shark
777,USA,Hawaii,Sharkwhitetip reef shark
778,USA,Florida,Spinner shark
779,SOUTH AFRICA,Eastern Cape Province,White shark
780,AUSTRALIA,New South Wales,Wobbegong shark
781,USA,Florida,Small shark
782,AUSTRALIA,New South Wales,Bronze whaler shark
783,USA,Florida,Spinner shark
784,AUSTRALIA,Western Australia,White shark
785,AUSTRALIA,New South Wales,Bronze whaler shark
786,AUSTRALIA,South Australia,White shark
787,USA,California,Black finned shark
788,NEW ZEALAND,North Island,White shark
789,AUSTRALIA,South Australia,White shark
790,CANADA,New Brunswick,Porbeagle shark
791,AUSTRALIA,Queensland,Bronze whaler shark
792,AUSTRALIA,Queensland,Tiger shark
793,AUSTRALIA,Western Australia,White shark
794,AUSTRALIA,Western Australia,White shark
795,USA,California,White shark
796,AUSTRALIA,Queensland,White shark
797,USA,Hawaii,Tiger shark
798,USA,Florida,Blacktip shark
799,USA,California,White shark
800,AUSTRALIA,South Australia,White shark
801,AUSTRALIA,South Australia,White shark
802,AUSTRALIA,New South Wales,Dead blue shark
803,OKINAWA,Miyako Island,White shark
804,SOUTH AFRICA,Western Cape Province,White shark
805,REUNION,Saint-Pierre,Tiger shark
806,USA,Florida,-lb bull shark
807,USA,Alaska,Salmon shark
808,USA,Hawaii,Tiger shark
809,USA,Florida,Shark
810,USA,Florida,Blacktip shark
811,USA,Florida,Nurse shark
812,USA,North Carolina,Grey-colored shark
813, TONGA,Minerva Reef,Grey reef shark
814,USA,Texas,Lemon shark
815,USA,North Carolina,Tiger shark
816,USA,Florida,Nurse shark
817,USA,Florida,Sharkor spinner shark
818,NEW ZEALAND,North Island,Mako shark
819,USA,Florida,Bull shark
820,USA,Texas,Blacktip shark
821,USA,Alabama,Bull shark
822,USA,Alabama,Bull shark
823,NEW CALEDONIA,South Province,Tiger shark bull shark shark
824,NEW CALEDONIA,North Province,Tiger shark
825,AUSTRALIA,New South Wales,Tiger shark
826,USA,Louisiana,Shortfin mako shark
827,SOUTH AFRICA,Western Cape Province,White shark
828,ENGLAND,Worcestershire,Blacktip  shark
829,USA,Florida,Hammerhead shark
830,NEW ZEALAND,South Island,Sevengill shark
831,NEW ZEALAND,South Island,Sevengill shark
832,NEW ZEALAND,South Island,Sevengill shark
833,BRAZIL,Pernambuco,Tiger shark
834,USA,Hawaii,Tiger shark
835,USA,California,White shark
836,SOUTH AFRICA,KwaZulu-Natal,White shark
837,MARSHALL ISLANDS,Alinglaplap Atoll,Grey reef shark
838,MARSHALL ISLANDS,Alinglaplap Atoll,Grey reef shark
839,USA,Florida,Lemon shark
840,USA,Hawaii,Tiger shark
841,ITALY,Adriatic Sea,White shark
842,USA,California,White shark
843,BAHAMAS,Abaco Islands,Bull sharkcaribbean reef shark
844,SOUTH AFRICA,Western Cape Province,White shark
845,USA,Florida,Bull shark
846,USA,Hawaii,Tiger shark
847,SOUTH AFRICA,Western Cape Province,White shark
848,USA,Florida,Blacktip shark
849,SOUTH AFRICA,Eastern Cape Province,White shark
850,USA,Florida,Spinner shark
851,AUSTRALIA,South Australia,White shark
852,BRAZIL,Pernambuco,Tiger shark
853,MAURITIUS,Grand Baie,Grey reef shark
854,REUNION,L' Etang Salé-les-Bains,Bull shark
855,NEW ZEALAND,South Island,Sevengill shark
856,NEW CALEDONIA,Loyalty Islands,Kg shark
857,USA,North Carolina,Basking shark
858,AUSTRALIA,New South Wales,Tiger shark
859,USA,Florida,Spinner shark
860,SOUTH AFRICA,Eastern Cape Province,White shark
861,REUNION,Saint-Leu,Bull shark
862,SOUTH AFRICA,Western Cape Province,White shark
863,SOUTH AFRICA,Eastern Cape Province,White shark
864,USA,Florida,Tiger shark
865,USA,Florida,Small shark
866,USA,Oregon,White shark
867,BRAZIL,Pernambuco,White shark
868,USA,California,White shark
869,USA,Virginia,Dusky shark
870,BAHAMAS,Berry Islands,Caribbean reef shark
871,SOUTH AFRICA,Transvaal,Sandtiger shark
872,SOUTH AFRICA,Western Cape Province,White shark
873,SOUTH AFRICA,Western Cape Province,White shark
874,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
875,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
876,AUSTRALIA,South Australia,White shark
877,SOUTH AFRICA,Eastern Cape Province,White shark
878,SOUTH AFRICA,Eastern Cape Province,White shark
879,USA,Florida,Lemon shark
880,SOUTH AFRICA,Western Cape Province,White shark
881,USA,Oregon,White shark
882,USA,Florida,Nurse shark
883,SOUTH AFRICA,Western Cape Province,White shark
884,USA,Florida,Spinner shark
885,USA,Florida,Spinner shark
886,MOZAMBIQUE,Maputo Province,Small dusky sharkor blackfin shark
887,USA,Virginia,Sandtiger shark
888,SOUTH AFRICA,Western Cape Province,White shark
889,AUSTRALIA,Western Australia,White shark
890,AUSTRALIA,Western Australia,White shark
891,USA,Hawaii,Tiger shark
892,USA,Florida,Blacktip shark
893,SOUTH AFRICA,Eastern Cape Province,Soupfin shark
894,USA,Florida,Small blacktip shark
895,USA,California,White shark
896,MEXICO,Quintana Roo,Tiger shark
897,EGYPT,Red Sea,Ceanic whitetip sharka white shark
898,USA,Florida,Shark
899,USA,Florida,Shark
900,SOUTH AFRICA,Eastern Cape Province,White shark
901,USA,South Carolina,Blacktip shark
902,OKINAWA,Miyako,White shark
903,FIJI,Taveuni,Tiger shark
904,USA,Florida,Spinner shark
905,USA,Florida,Sharkspinner shark
906,USA,Florida,Sand shark
907,USA,Florida,Sand shark
908,BAHAMAS,Abaco Islands,Caribbean reef shark
909,BRAZIL,Rio de Janeiro,White shark
910,AUSTRALIA,Queensland,Tiger shark
911,AUSTRALIA,Western Australia,Tiger shark
912,AUSTRALIA,Victoria,White shark
913,SOUTH AFRICA,Eastern Cape Province,White shark
914,USA,California,White shark
915,USA,California,White shark
916,USA,California,White shark
917,NEW ZEALAND,Chatham Islands ,White shark
918,USA,Florida,Young shark
919,SOUTH AFRICA,KwaZulu-Natal,White shark
920,USA,Hawaii,Tiger shark
921,USA,California,White shark
922,USA,Florida,Hammerhead shark
923,OKINAWA,Miyako,White shark
924,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba",Ceanic whitetip shark
925,AUSTRALIA,Victoria,White shark
926,SOUTH AFRICA,Western Cape Province,White shark
927,USA,Florida,Spinner shark
928,AUSTRALIA,New South Wales,Wobbegong shark
929,AUSTRALIA,New South Wales,Wobbegong shark
930,AUSTRALIA,Queensland,Tiger shark
931,AUSTRALIA,New South Wales,Bronze whaler shark
932,USA,Missouri,Rse shark
933,AUSTRALIA,New South Wales,Shark
934,USA,Florida,Nurse shark
935,AUSTRALIA,Queensland,Bronze whaler shark
936,USA,Hawaii,Tiger shark
937,AUSTRALIA,New South Wales,Mako shark
938,REUNION,Saint-Paul ,Tiger shark
939,FIJI,Taveuni,Tiger shark
940,USA,North Carolina,Tiger shark
941,NEW ZEALAND,"Chatham Islands, east of New  Zealand",White shark
942,USA,Florida,Shark
943,USA,California,White shark
944,USA,Florida,Bull shark
945,AUSTRALIA,Western Australia,White shark
946,USA,California,White shark
947,USA,Florida,Small shark
948,TONGA,Vavau,Small shark
949,USA,South Carolina,Blacktip shark
950,USA,Mississippi,Blacktip shark
951,USA,California,White shark
952,USA,California,White shark
953,USA,Hawaii,Tiger shark
954,HONG KONG,Clearwater Bay,Tiger shark
955,USA,Florida,Bull shark
956,AUSTRALIA,New South Wales,Wobbegong shark
957,JAPAN,Aichi Prefecture,White shark
958,AUSTRALIA,South Australia,Bronze whaler shark
959,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
960,SOUTH AFRICA,KwaZulu-Natal,Tiger shark
961,AUSTRALIA,Queensland,Leopard shark
962,SOUTH AFRICA,Western Cape Province,White shark
963,USA,California,White shark
964,SOUTH AFRICA,Western Cape Province,Raggedtooth shark
965,USA,Florida,Small sand shark
966,USA,Oregon,White shark
967,USA,Hawaii,Small shark
968,REUNION,Saint-Denis,Bull shark
969,SOUTH AFRICA,Eastern Cape Province,White shark
970,SOUTH AFRICA,Eastern Cape Province,White shark
971,USA,Florida,Small shark
972,USA,Florida,Spinner shark
973,REUNION,Saint-Joseph,Bull shark
974,SOUTH AFRICA,Western Cape Province,White shark
975,USA,California,Lemon shark
976,SOUTH AFRICA,Eastern Cape Province,White shark
977,USA,Hawaii,Tiger shark
978,AUSTRALIA,Western Australia,White shark
979,USA,Hawaii,Tiger shark
980,AUSTRALIA,Western Australia,Tiger shark
981,USA,California,White shark
982,USA,Florida,Bull shark
983,USA,California,White shark
984,USA,Hawaii,Tiger shark
985,SOUTH AFRICA,Western Cape Province,White shark
986,EL SALVADOR,La Libertad,White shark
987,BAHAMAS,Walkers Cay,Blacktip sharkcaribbean reef shark
988,USA,California,White shark
989,USA,North Carolina,Bull shark
990,AUSTRALIA,Western Australia,White shark
991,USA,California,White shark
992,EL SALVADOR,La Libertad,White shark
993,SOUTH AFRICA,Eastern Cape Province,White shark
994,USA,Hawaii,Tiger shark
995,AUSTRALIA,New South Wales,White shark
996,AUSTRALIA,Tasmania,White shark
997,JAPAN,Ehime Prefecture,Possiby white shark
998,USA,Hawaii,Tiger shark
999,USA,California,White shark
1000,AUSTRALIA,Queensland,Bronze whaler shark
1001,USA,Oregon,White shark
1002,ANGOLA,West Africa,White shark
1003,USA,Florida,Lemon shark
1004,USA,Hawaii,Tiger shark
1005,USA,Hawaii,Tiger shark
1006,USA,California,Mako shark
1007,USA,Florida,Blacktip shark
1008,USA,California,White shark
1009,FIJI,Wakaya Island,Hammerhead shark
1010,USA,California,Unidentified shark
1011,USA,Hawaii,Tiger shark
1012,USA,California,White shark
1013,USA,Hawaii,Tiger shark
1014,AUSTRALIA,New South Wales,Grey nurse shark
1015,AUSTRALIA,Queensland,White shark
1016,USA,Oregon,White shark
1017,BAHAMAS,Abaco Islands,Blacktip shark
1018,AUSTRALIA,South Australia,White shark
1019,USA,California,White shark
1020,USA,Florida,Nurse shark
1021,REUNION,Saint-Paul,Bull sharkor lemon shark
1022,JAPAN,Ehime Prefecture,White shark
1023,REUNION,Saint-Paul,Mako shark
1024,REUNION,Saint-Joseph,Tiger shark
1025,NEW ZEALAND,Antarctic Ocean,-kg white shark
1026,USA,Hawaii,Tiger shark
1027,AUSTRALIA,Victoria,Bronze whaler shark
1028,JAPAN,Ehime Prefecture,White shark
1029,USA,Oregon,White shark
1030,USA,Hawaii,Tiger shark
1031,REUNION,La Saline-les-Bains,Grey shark
1032,AUSTRALIA,New South Wales,Bronze whaler shark
1033,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
1034,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
1035,USA,California,White shark
1036,USA,Hawaii,Tiger shark
1037,USA,Hawaii,Tiger shark
1038,USA,Hawaii,Tiger shark
1039,AUSTRALIA,Western Australia,Small shark
1040,USA,California,White shark
1041,AUSTRALIA,South Australia,White shark
1042,USA,South Carolina,Sand shark
1043,USA,Florida,Lemon shark
1044,ITALY,Ligurian Sea,White shark
1045,USA,Florida,-lb reef shark
1046,USA,Florida,Blacktip shark
1047,REUNION,L'Etang-Salé,Tiger shark
1048,USA,California,White shark
1049,USA,Florida,Lemon shark
1050,HONG KONG,Port Shelter,Tiger shark
1051,SOUTH AFRICA,Western Cape Province,White shark
1052,USA,Maryland,Shark
1053,AUSTRALIA,New South Wales,Grey nurse shark
1054,USA,Oregon,White shark
1055,SOUTH AFRICA,Western Cape Province,White shark
1056,USA,California,White shark
1057,USA,Florida,Spinner shark
1058,USA,Hawaii,Tiger shark
1059,SOUTH AFRICA,Western Cape Province,White shark
1060,USA,California,White shark
1061,USA,California,White shark
1062,USA,California,White shark
1063,SOUTH AFRICA,Western Cape Province,White shark
1064,SOUTH AFRICA,KwaZulu-Natal,-kg shark
1065,SOUTH AFRICA,Eastern Cape Province,White shark
1066,SOUTH AFRICA,Eastern Cape Province,White shark
1067,AUSTRALIA,Queensland,Tiger shark
1068,REUNION,Sainte-Marie,Bull shark
1069,USA,Hawaii,Two shark
1070,USA,California,White shark
1071,AUSTRALIA,Northern Territory,Tiger shark
1072,AUSTRALIA,Victoria,White shark
1073,SOUTH AFRICA,Western Cape Province,White shark
1074,AUSTRALIA,Tasmania,White shark
1075,AUSTRALIA,Victoria,White shark
1076,SOUTH AFRICA,Western Cape Province,White shark
1077,USA,Florida,-lb shark
1078,USA,California,White shark
1079,USA,California,White shark
1080,USA,North Carolina,Sandbar shark
1081,USA,California,Blue shark
1082,AUSTRALIA,Queensland,Grey nurse shark
1083,SOUTH AFRICA,Western Cape Province,White shark
1084,AUSTRALIA,New South Wales,Bronze whaler shark
1085,AUSTRALIA,Queensland,White shark
1086,SOUTH AFRICA,Eastern Cape Province,White shark
1087,USA,Louisiana,Sandtiger shark
1088,ITALY,Tuscany,White shark
1089,SOUTH AFRICA,Eastern Cape Province,White shark
1090,SOUTH AFRICA,Eastern Cape Province,White shark
1091,USA,Washington,White shark
1092,USA,California,White shark
1093,AUSTRALIA,South Australia,White shark
1094,AUSTRALIA,Western Australia,Tiger shark
1095,SOUTH AFRICA,Western Cape Province,Gaffed shark
